<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20000218,000000,24.56,24.56,24.12,24.38,259840000,0
PETR3.SA,D,20000221,000000,24.25,24.59,24.25,24.56,156800000,0
PETR3.SA,D,20000222,000000,24.62,24.69,24.31,24.31,624320000,0
PETR3.SA,D,20000223,000000,25.00,25.25,24.35,25.13,682720000,0
PETR3.SA,D,20000224,000000,25.13,26.31,25.12,26.31,1219520000,0
PETR3.SA,D,20000225,000000,26.31,27.28,26.25,26.94,604960000,0
PETR3.SA,D,20000228,000000,26.88,27.12,25.94,26.94,473760000,0
PETR3.SA,D,20000229,000000,26.89,27.50,26.75,26.81,203520000,0
PETR3.SA,D,20000301,000000,26.88,27.50,26.81,27.03,279840000,0
PETR3.SA,D,20000302,000000,27.19,27.50,26.75,27.00,334880000,0
PETR3.SA,D,20000303,000000,27.75,27.81,27.00,27.50,203040000,0
PETR3.SA,D,20000306,000000,27.50,27.50,27.50,27.50,000,0
PETR3.SA,D,20000307,000000,27.50,27.50,27.50,27.50,000,0
PETR3.SA,D,20000308,000000,26.94,27.81,26.94,27.69,117120000,0
PETR3.SA,D,20000309,000000,27.81,28.62,27.81,28.56,506240000,0
PETR3.SA,D,20000310,000000,28.56,28.62,27.94,28.62,272640000,0
PETR3.SA,D,20000313,000000,28.06,28.06,26.88,27.50,361280000,0
PETR3.SA,D,20000314,000000,27.56,28.06,27.25,27.38,553280000,0
PETR3.SA,D,20000315,000000,27.38,27.50,26.88,27.38,433280000,0
PETR3.SA,D,20000316,000000,27.25,27.50,26.72,27.06,139840000,0
PETR3.SA,D,20000317,000000,26.88,26.88,26.56,26.69,115360000,0
PETR3.SA,D,20000320,000000,26.75,26.78,26.12,26.31,118880000,0
PETR3.SA,D,20000321,000000,26.12,26.62,26.12,26.50,428320000,0
PETR3.SA,D,20000322,000000,26.50,26.88,26.50,26.69,374240000,0
PETR3.SA,D,20000323,000000,26.62,27.19,26.25,26.88,249920000,0
